front,back,label,item-count
https://matteomenapace.github.io/playingcards/daybreak/reference/us-setup.png,https://matteomenapace.github.io/playingcards/daybreak/reference/us-steps.png,us,1
https://matteomenapace.github.io/playingcards/daybreak/reference/china-setup.png,https://matteomenapace.github.io/playingcards/daybreak/reference/china-steps.png,china,1
https://matteomenapace.github.io/playingcards/daybreak/reference/eu-setup.png,https://matteomenapace.github.io/playingcards/daybreak/reference/eu-steps.png,eu,1
https://matteomenapace.github.io/playingcards/daybreak/reference/mw-setup.png,https://matteomenapace.github.io/playingcards/daybreak/reference/mw-steps.png,mw,1
https://matteomenapace.github.io/playingcards/daybreak/reference/solo-setup.png,https://matteomenapace.github.io/playingcards/daybreak/reference/solo-steps.png,solo,1
